index;code_geographique;libelle_geographique;epci;libelle_epci;departement;libelle_departement;region;ept;libelle_petr;code_pnr;libelle_pnr;nom;structure_porteuse;type_de_structure_porteuse;annee_debut;avancement
0;01004;Ambérieu-en-Bugey;240100883;Communauté de communes de la Plaine de l'Ain;01;Ain;84;;;;;ABC d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;Commune;2014;Fini
1;01022;Artemare;200040350;Communauté de communes Bugey Sud;01;Ain;84;;;;;ABC d'Artemare;Artemare;Commune;2014;Fini
2;01142;Dagneux;240100610;Communauté de communes de la Côtière à Montluel;01;Ain;84;;;;;ABC de Dagneux;Dagneux;Commune;2010;Fini
3;01197;Journans;200071751;Communauté d'agglomération du Bassin de Bourg-en-Bresse;01;Ain;84;;;;;ABC de Journans;Journans;Commune;2015;Fini
4;01337;Saint-Bénigne;200071371;Communauté de communes Bresse et Saône;01;Ain;84;;;;;ABC de Saint-Bénigne;Saint-Bénigne;Commune;2014;Fini
5;01347;Saint-Didier-de-Formans;200042497;Communauté de communes Dombes Saône Vallée;01;Ain;84;;;;;ABC de Saint Didier de Formans;Saint-Didier-de-Formans;Commune;2021;Fini
6;02011;Ambleny;200071991;Communauté de communes Retz-en-Valois;02;Aisne;32;;PETR du Soissonnais et du Valois;;;ABC de la communauté de communes de Retz-en-Valois;CC Retz-en-Valois;Etablissement public de coopération intercommunale (EPCI);2021;En cours de réalisation
7;02015;Ancienville;200071991;Communauté de communes Retz-en-Valois;02;Aisne;32;;PETR du Soissonnais et du Valois;;;ABC de la communauté de communes de Retz-en-Valois;CC Retz-en-Valois;Etablissement public de coopération intercommunale (EPCI);2021;En cours de réalisation
8;02018;Anizy-le-Grand;200071769;Communauté de communes Picardie des Châteaux;02;Aisne;32;;;;;ABC de la Communauté de communes Picardie des Châteaux;CC Picardie des Châteaux;Etablissement public de coopération intercommunale (EPCI);2021;En cours de réalisation
9;02034;Audignicourt;200071991;Communauté de communes Retz-en-Valois;02;Aisne;32;;PETR du Soissonnais et du Valois;;;ABC de la communauté de communes de Retz-en-Valois;CC Retz-en-Valois;Etablissement public de coopération intercommunale (EPCI);2021;En cours de réalisation
10;02049;Barisis-aux-Bois;200071769;Communauté de communes Picardie des Châteaux;02;Aisne;32;;;;;ABC de la Communauté de communes Picardie des Châteaux;CC Picardie des Châteaux;Etablissement public de coopération intercommunale (EPCI);2021;En cours de réalisation
11;02052;Bassoles-Aulers;200071769;Communauté de communes Picardie des Châteaux;02;Aisne;32;;;;;ABC de la Communauté de communes Picardie des Châteaux;CC Picardie des Châteaux;Etablissement public de coopération intercommunale (EPCI);2021;En cours de réalisation
12;02071;Berny-Rivière;200071991;Communauté de communes Retz-en-Valois;02;Aisne;32;;PETR du Soissonnais et du Valois;;;ABC de la communauté de communes de Retz-en-Valois;CC Retz-en-Valois;Etablissement public de coopération intercommunale (EPCI);2021;En cours de réalisation
13;02078;Besmé;200071769;Communauté de communes Picardie des Châteaux;02;Aisne;32;;;;;ABC de la Communauté de communes Picardie des Châteaux;CC Picardie des Châteaux;Etablissement public de coopération intercommunale (EPCI);2021;En cours de réalisation
14;02087;Bieuxy;200071991;Communauté de communes Retz-en-Valois;02;Aisne;32;;PETR du Soissonnais et du Valois;;;ABC de la communauté de communes de Retz-en-Valois;CC Retz-en-Valois;Etablissement public de coopération intercommunale (EPCI);2021;En cours de réalisation
15;02093;Blérancourt;200071769;Communauté de communes Picardie des Châteaux;02;Aisne;32;;;;;ABC de la Communauté de communes Picardie des Châteaux;CC Picardie des Châteaux;Etablissement public de coopération intercommunale (EPCI);2021;En cours de réalisation
16;02107;Bourguignon-sous-Coucy;200071769;Communauté de communes Picardie des Châteaux;02;Aisne;32;;;;;ABC de la Communauté de communes Picardie des Châteaux;CC Picardie des Châteaux;Etablissement public de coopération intercommunale (EPCI);2021;En cours de réalisation
17;02108;Bourguignon-sous-Montbavin;200071769;Communauté de communes Picardie des Châteaux;02;Aisne;32;;;;;ABC de la Communauté de communes Picardie des Châteaux;CC Picardie des Châteaux;Etablissement public de coopération intercommunale (EPCI);2021;En cours de réalisation
