numero_ej,nom_du_projet,nom_fournisseur,montant_engage,numero_ds,source
1406661860,Élimination des espèces exotiques envahissantes dans les ravines de l'Est de La Réunion,2TR REUNION, 57 293.43,19685386,DREAL
1406661861,Élimination des espèces exotiques envahissantes dans les ravines du Nord de La Réunion,2TR REUNION, 30 228.10,19594155,DREAL
1512432552,Elaboration et pose de panneaux d'information et de plaquettes dans le cadre de l'arrêté préfectoral de protection de biotope (APPB) des ilots et grèves de la Loire,ASSOCIATION TREMPLIN, 4 178.50,16412385,DREAL
1512601282,Extension du réseau des ZNIEFF marines en Bretagne,IDRA BIO ET LITTORAL, 47 964.00,16931195,DREAL
1512658760,Confection de panneaux réglementaires et d'informations pour Aires Protégées (APHN et APG),MIC SIGNALOC, 7 944.00,17327320,DREAL
1512731498,Restauration d'écosystèmes dans la RNN du Banc d'Arguin,DEP CHARENTE-MARITIME, 48 000.00,19594450,DREAL
1512858843,Signalétique arrêtés de protection de biotope,ASS DES PARALYSES DE FRANCE APF, 2 871.47,17804207,DREAL
1800078770,Mise en place d'une protection sur la vallée de la Druyes,ECOGEE, 64 576.50,19594230,DREAL
2104276937,Préservation des populations d’Alysson du Rhône : animation foncière et acquisition de parcelles sur la commune d’Andance,CONSERVATOIRE RH ALP ESPACES, 75 500.00,13399035,DREAL
2104323669,Elevage de Hamsters Communs en vue d’opérations de renforcement des populations dans le cadre du du Plan National d’Actions en cours,CENTRE RELAIS DES CIGOGNES, 23 769.60,16373019,DREAL
2104325714,Elaboration du volet opérationnel de la stratégie biosécurité des Iles Eparses,TAAF TERRES AUST ANTARCT FR, 32 000.00,19623863,DREAL
2104328456,"Suivi de l’état de conservation des populations de Stylurus flavipes et d’Ophiogomphus cecilia en Loir-et-Cher, Région Centre – Val de Loire",COMITE DEPART PROTEC NATURE, 6 000.00,16590072,DREAL
2104329033,Mise en oeuvre du protocole de suivi des gomphes de Loire pour l'évaluation et l'amélioration de l'état de conservation des espèces d'odonates menacées,FEDERATION MAISONS DE LOIRE REGION, 9 000.00,16505640,DREAL
2104329034,Suivi des espèces PNA dans le Cher dans un objectif de restauration de leur habitat,NATURE 18, 63 006.92,16514574,DREAL
2104329035,"Suivi de populations de trois espèces PNA (Le Pélobate brun, la Noctule commune et les gomphes de Loire) dans le Loiret",LOIRET NATURE ENVIRONNEMENT, 14 500.00,16660655,DREAL
2104329037,"Suivi des plantes messicoles en Loir-et-Cher, Région Centre – Val de Loire",COMITE DEPART PROTEC NATURE, 8 115.00,16721091,DREAL
2104329038,Recherche et Inventaire de la Noctule commune (Nyctalus Nyctala) au sein d’arbres à cavités,COMITE DEPART PROTEC NATURE, 6 500.00,16719016,DREAL
2104329659,Campagne de prospection sur la reproduction des Chiroptères,EURE ET LOIR NATURE, 5 200.00,16584323,DREAL
2104329660,Inventaire des odonates,EURE ET LOIR NATURE, 5 000.00,16598664,DREAL
2104329661,Aménagement de la passerelle d'accès à l'observatoire de l'étang des Fougères (RNN),ASS GEST RESERVE NAT CHERINE, 7 311.18,16352230,DREAL
2104329666,Projet d’acquisition de la propriété de l’étang de la Rouère,ASS GEST RESERVE NAT CHERINE, 324 646.00,16443050,DREAL
2104330283,Contribution aux PNA Chiroptères et Loutre d'Europe dans l'Indre - 2024,INDRE NATURE, 18 128.00,16701744,DREAL
2104330286,Contribution à trois PNA en faveur des oiseaux dans l'Indre - 2024,INDRE NATURE, 17 304.00,16702073,DREAL
2104330335,Contribution aux PNA Papillons de jour et Odonates dans l'Indre,INDRE NATURE, 20 600.00,16653362,DREAL
2104330336,Actions de suivi et conservation Amphibiens et Reptiles dans l'Indre - 2024,INDRE NATURE, 22 520.00,16697435,DREAL
2104336441,Contribution à la Stratégie Aires Protégées,SM PARC DES VOLCANS SMPV, 25 000.00,16428427,DREAL
2104340720,Un carré pour la biodiversité,CTRE PERMANENT INITIATIVE, 21 261.50,16897579,DREAL
2104340735,Programme de Conservation des Chauves-souris en tant qu’Auxiliaires de Culture dans les Vignes de Balagne,ASSOCIATION DE VALORISATION DES, 44 400.00,16358604,DREAL
2104344313,"Programme d’accompagnement pour le dispositif « Territoires engages pour la nature » et la mobilisation des collectivites en faveur de la biodiversite en Hauts-de-France Mobilisation, information/ sensibilisation, formation, animation de réseau",UNION REGIONALE DES CENTRES, 18 009.26,16907626,DREAL
2104344450,actions de suivi des chiroptères dans l'Aisne,CTRE PERMANENT INITIATIVE, 14 264.50,16867293,DREAL
2104344483,Recherche d’arbres gîtes à Murin de Bechstein par captures puis radiopistages notamment pour le projet de Réserve Biologique Intégrale des Bois de Retz,OFFICE NATIONAL DES FORETS, 8 080.00,16320060,DREAL
2104345399,"Réhabilitation écologique et paysagère de l'emprise de la ""Maison dite Cabodi""",BELLEFONTAINE, 76 000.00,16671236,DREAL
2104345646,Recensement de la population reproductrice du Vautour fauve dans les Pyrénées françaises en 2024,SAIAK, 11 200.00,16445847,DREAL
2104345811,"Restauration et équipement de prairies humides sur le bassin versant de la Ramade (Flayat, 23)",CONSERVATOIRE D'ESPACES NATURELS DE, 12 474.00,16735912,DREAL
2104346747,Ocean Watch,OCEANIA, 461 010.00,16822573,DREAL
2104348924,Acquisition de parcelles boisées Forêt de l'appentis du Canada sur la commune de Tintry,CONSERVAT. SITES NATURELS, 93 736.30,14706696,DREAL
2104349296,"Etude sur l’identification, la structure, et la santé génétique de la population de Petit Murins par rapport à celle de Grand Murins dans la colonie mixte de Gravelle",COMMISS PERMAN ETUDE PROTEC EAU, 28 220.00,15404012,DREAL
2104352311,Réhabilitation écologique et paysagère de la propriété dite CABODI,CHAPELLE-DES-BOIS, 40 000.00,17124512,DREAL
2104354168,"Actions en faveur des Chiroptères Doubs, Jura, Haute-Saône &amp; Territoire de Belfort 2024 et 2025",COMMISS PERMAN ETUDE PROTEC EAU, 127 225.00,17732703,DREAL
2104355730,Acquisition de zones humides en Charente et travaux de restauration de zones humides en Charente (2024),CONSERVATOIRE D'ESPACES NATURELS DE, 21 391.85,14648348,DREAL
2104356217,"Acquisitions Foncières (2024) : Grotte du Rajol, Coteau des Farges, Vallée de la Dronne",CONSERVATOIRE D'ESPACES NATURELS DE, 35 184.00,17732754,DREAL
2104356486,Vallée sèche de Bourdigal (2024),CONSERVATOIRE D'ESPACES NATURELS DE, 54 157.50,17178111,DREAL
