nom_du_projet,resume_du_projet,montant_engage,numero_dossier_ds,numero_ej,numero_operateur,operateur,demarche,nom_region,nom_departement,code_departement,siret_beneficiaire,raison_sociale_beneficiaire,forme_juridique_beneficiaire,code_commune,nom_commune
Création d’une Zone de Mouillage et d'Équipements Légers au Gosier,"Face à l’augmentation du nombre de plaisanciers sur le territoire de la CARL, le mouillage des navires représente un enjeu environnemental, d’attractivité maritime et de développement économique pour la CARL et ses communes membres.

L’établissement d’une ZMEL consiste à délimiter et aménager, sur le domaine public maritime naturel, une aire d’accueil et de stationnement temporaires pour les navires et bateaux, avec des installations mobiles et relevables qui garantissent la réversibilité de l’affectation du site occupé.

Afin de répondre à ces enjeux, il apparaît nécessaire que la ville du Gosier s’engage, en lien avec les services de l’Etat, sur la conduite d’opérations d’aménagement de zone de mouillage et d’équipements légers (ZMEL) sur le littoral communautaire.
",950000.00,11735188,2104799551,,,SN Biodiversité,Guadeloupe,Guadeloupe,971,21971113200015,COMMUNE DU GOSIER,Commune et commune nouvelle,97113,Le Gosier
Oasis Urbaine de Biodiversité ,"Le projet d’Oasis Urbaines de Biodiversité mené par l’ADLVP vise à régénérer les derniers îlots de mangrove à Fort-de-France, menacés par l’anthropisation, le tout dans le contexte de montée des eaux. 3 sites vulnérables sont ciblés via des actions de connaissance, de restauration, de protection et de valorisation. Ces actions d’éco-responsabilité, par la sensibilisation, l’insertion, la gestion citoyenne et éducative, suivent un fil rouge : la résilience.
Nous visons également à  positionner ces sites en Aires Maritimes Educatives et/ou Aires Maritimes protégées pour y développer des projets éducatifs pérennes, adaptés et partagés, qui intègrent des actions souples et innovantes de protection et de valorisation. Cette démarche permettra de sensibiliser tout un chacun sur l’importance de cet écosystème tout en renforçant notre culture environnementale qui ne cesse de disparaître, de génération en génération.
",355400.03,11745400,2104861033,,,SN Biodiversité,Martinique,Martinique,972,82972296600019,AGENCE DE DEVELOPPEMENT LOCAL DE VOLGA PLAGE (ADLVP),Association déclarée,97209,Fort-de-France
"Restauration et revitalisation des étangs du Scamandre, du Charnier et du Crey.","L'écocomplexe Crey-Scamandre est un site majeur pour la biodiversité. Il fut longtemps la plus grande roselière exploitée de France, la sagne étant une activité traditionnelle importante notamment pour l'entretien et la valorisation de la roselière. La dégradation des milieux, lente, constante, irréversible, due au dérèglement climatique, à la transformation ou abandon de certaines activités et aux nombreux conflits d'usage autour de l'eau, a mis en péril cet écosystème. La faune inféodée à ces habitats est en voie de disparition, les activités socio-économiques traditionnelles ont déserté et le patrimoine culturel/paysager est dévalorisé. Ce constat doit déclencher des actions pour restaurer la qualité de l'eau, la refaire circuler dans les milieux complètement eutrophisés, réduire la salinité, restaurer les populations d'espèces sauvages menacées, rétablir des habitats et une continuité écologique, assurer surveillance et suivi sur le long terme.",110641.13,11963087,2104795151,,,SN Biodiversité,Occitanie,Gard,30,24300059300034,COMMUNAUTE DE COMMUNES DE PETITE CAMARGUE,Communauté de communes,30341,Vauvert
Mesures de protection et d’accompagnement des usages compatibles avec la préservation du gîte majeur à Chiroptères de l’Adaouste,"La grotte de l’Adaouste bénéficie depuis peu, par l’action du GCP et ses partenaires, d’un périmètre physique de protection et d’un APB destinés à protéger ce gîte en faveur des Chiroptères. Afin de compléter et renforcer sa préservation, il est nécessaire de mettre en place des mesures complémentaires de protection et de surveillance. 
Les actions suivantes seront mises en oeuvre:
- Evaluer l'impact des mesures de protection sur la population de chiroptères, via la pose d'un enregistreur acoustique automatique
- Etablir un cadre de surveillance et de contrôle des activités :
•	Outils de surveillance renforcée du gîte
•	Entretien du périmètre de fermeture
- Accompagner les usages compatibles avec la conservation des chauves-souris : 
•	Installation d’un cheminement dans la grotte en concertation avec les spéléologues
•	Pose d’une barrière de piste donnant accès à la cavité
•	Conception et pose de panneaux d’information
",49110.00,11970100,2104775600,,,SN Biodiversité,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13,42037692300025,ASSO GROUPE CHIROPTERE DE PROVENCE,Association déclarée,04178,Saint-Étienne-les-Orgues
Renforcement de la connectivité et de la résilience des réserves naturelles forestières,"Ce projet vise à renforcer la résilience et la connectivité de 3 réserves naturelles nationales gérées ou co-gérées par l'ONF : RNN Trinité, Nouragues et Mont Grand Matoury.
Ce renforcement passe par la sécurisation des zones périphériques de trois zones de protections fortes, en identifiant les menaces qui pèsent sur celles-ci, et en trouvant les éléments juridiques ou de médiations qui permettent de limiter ces menaces.",130000.00,12010640,2104773142,,,SN Biodiversité,Guyane,Guyane,973,66204311600497,OFFICE NATIONAL DES FORETS,Établissement public national à caractère industriel ou commercial doté d'un comptable public,97301,Régina
Plan écologique pour les forêts alluviales et ripisylves de Durance,"Ce projet vise à définir une stratégie spatio-temporelle à l’échelle du bassin de la Durance. Il permet la préservation d’un réseau de ripisylve et de forêt alluviale en connexion tout en s’assurant de la persistance des habitats clefs à une échelle fonctionnelle à définir lors du projet. Ce travail permettra aux divers acteurs des milieux aquatiques de mettre en œuvre des actions allant dans le sens de la préservation des équilibres entre conservation de la biodiversité et nécessité d’aménagements visant d’autres objectifs. Ainsi, les syndicats mixtes, structures environnementales, collectivités, parcs, entreprises privées et Représentants de l’Etat auront accès à une base décisionnaire pour la mise en œuvre de leurs politiques.",51792.00,12274714,,900202469,Agence de l'eau,SN Biodiversité,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,04,42037692300025,ASSO GROUPE CHIROPTERE DE PROVENCE,Association déclarée,04112,Manosque
"ÉVALuation des menaces sur les populations de plantes menacées en milieux NATurel, et actions de conservation, au travers la réalisation d’un réseau de micro-arboretums pour alimenter en diaspores les futurs projets de restauration, plantation d’espèces indigènes protégées. ","Reconnue pour la richesse et l’originalité de sa flore, l’île de La Réunion abrite de nombreuses espèces qui n'existent nulle part ailleurs au monde. Un récent état des lieux (UICN 2023) réalisé sur l’ensemble de la flore vasculaire réunionnaise montre que 395 espèces sont menacées et 31 autres quasi menacées, tandis que 41 espèces ont déjà disparu. Le bilan dressé met en évidence les pressions croissantes qui pèsent sur la flore de l’île (UICN 2023).
En lien avec une concertation locale (Baret et al. 2012) et la récente stratégie de conservation ex situ (CBNM 2024), la SPL EDDEN souhaite développer un réseau de micro-arboretums de plantes protégées sur des terrains du Conseil Départemental. Pour cela EDDEN a déjà obtenue une autorisation de récolte et de production pour le projet et établi une convention de partenariat avec le CBNM Mascarin.",102885.00,12318430,2104909257,,,SN Biodiversité,La Réunion,La Réunion,974,85065445000046,SOCIETE PUBLIQUE LOCALE EDDEN (ECOLOGIE ET DEVELOPPEMENT DURABLE DES ESPACES NATURELS),SA à conseil d'administration (s.a.i.),47222,La Réunion
Zones de tranquillité pour les espèces emblématiques au sein d’un domaine skiable,"Le projet vise à créer des Zones de Tranquillité (ZT) pour favoriser la préservation du tétras-lyre, une espèce emblématique des Alpes, au sein des espaces de loisirs hivernaux des 3 Vallées. Ces ZT permettront à la faune de trouver la tranquillité nécessaire à son cycle de vie. Des travaux d'aménagement forestier, notamment la plantation d'une haie dense de résineux locaux, serviront à matérialiser les ZT et à limiter les intrusions des skieurs. pour favoriser l'appropriation et le respect des ZT par les utilisateurs des domaines skiables.",69997.90,12621964,2104822316 | 2104827444,,,SN Biodiversité,Auvergne-Rhône-Alpes,Savoie,73,35306596400010,SOCIETE D'EXPLOITATION DE LA VALLEE DES BELLEVILLE,"SAS, société par actions simplifiée",73257,Les Belleville
Travaux de restauration des continuités écologiques sur les talus routiers,"Action B2 : Travaux de restauration des continuités écologiques sur les talus routiers
Maître d’ouvrage : Conseil Départemental des Ardennes (CD08)
Acteurs associés :
➢ Parc naturel régional des Ardennes 
➢ Conservatoire Botanique National du Bassin Parisien (CBNBP)
➢ Association les Amis du Parc
➢ Etablissement Public d’Aménagement de la Meuse et de ses Affluents (EPAMA)

Objectifs : Restauration des continuités écologiques, reconstruction de corridors entre les réservoirs de biodiversité.
Description détaillée : l’implantation d’éléments naturels sur la D20 permet d’améliorer la biodiversité et de lutter contre l’érosion et les inondations sur le territoire du PNR.
Travaux prévus : plantations de haies.
",10000.00,13372287,2104775048,,,SN Biodiversité,Grand Est,Ardennes,08,22080004900011,DEPARTEMENT DES ARDENNES,Département,08071,Blombay
"Protection, préservation et mise en valeur du Bois de MOUGNO",Préemption ayant pour but de préserver l'espace forestier bordant la Commune tout en y assurant un cadre et un suivi plus régulier. La biodiversité y sera également protégée et préservée. La gestion sera assurée par l'ONF. ,24000.00,13490377,2104647700,,,SN Biodiversité,Occitanie,Hérault,34,21340053400011,COMMUNE DE CARLENCAS-ET-LEVAS,Commune et commune nouvelle,34053,Carlencas-et-Levas
