identifiant_technique,nom,structure_porteuse,type_de_structure_porteuse,commune,code_commune,annee_debut,ami_ofb,avancement,ressource_documentaire
c01daa30-153b-4b05-a416-daeab799263a,"ABC ""Perseigne"" PNR Normandie-Maine (ligérien)",Normandie-Maine,"Parc naturel régional",Bourg-le-Roi,72043,2020,Vrai,"En cours de réalisation",https://www.parc-naturel-normandie-maine.fr/abc-perseigne.html
c01daa30-153b-4b05-a416-daeab799263a,"ABC ""Perseigne"" PNR Normandie-Maine (ligérien)",Normandie-Maine,"Parc naturel régional",Ancinnes,72005,2020,Vrai,"En cours de réalisation",https://www.parc-naturel-normandie-maine.fr/abc-perseigne.html
c01daa30-153b-4b05-a416-daeab799263a,"ABC ""Perseigne"" PNR Normandie-Maine (ligérien)",Normandie-Maine,"Parc naturel régional",Livet-en-Saosnois,72164,2020,Vrai,"En cours de réalisation",https://www.parc-naturel-normandie-maine.fr/abc-perseigne.html
c01daa30-153b-4b05-a416-daeab799263a,"ABC ""Perseigne"" PNR Normandie-Maine (ligérien)",Normandie-Maine,"Parc naturel régional",Aillières-Beauvoir,72002,2020,Vrai,"En cours de réalisation",https://www.parc-naturel-normandie-maine.fr/abc-perseigne.html
c01daa30-153b-4b05-a416-daeab799263a,"ABC ""Perseigne"" PNR Normandie-Maine (ligérien)",Normandie-Maine,"Parc naturel régional","Les Aulneaux",72015,2020,Vrai,"En cours de réalisation",https://www.parc-naturel-normandie-maine.fr/abc-perseigne.html
c01daa30-153b-4b05-a416-daeab799263a,"ABC ""Perseigne"" PNR Normandie-Maine (ligérien)",Normandie-Maine,"Parc naturel régional",Mamers,72180,2020,Vrai,"En cours de réalisation",https://www.parc-naturel-normandie-maine.fr/abc-perseigne.html
c01daa30-153b-4b05-a416-daeab799263a,"ABC ""Perseigne"" PNR Normandie-Maine (ligérien)",Normandie-Maine,"Parc naturel régional",Neufchâtel-en-Saosnois,72215,2020,Vrai,"En cours de réalisation",https://www.parc-naturel-normandie-maine.fr/abc-perseigne.html
c01daa30-153b-4b05-a416-daeab799263a,"ABC ""Perseigne"" PNR Normandie-Maine (ligérien)",Normandie-Maine,"Parc naturel régional",Saint-Longis,72295,2020,Vrai,"En cours de réalisation",https://www.parc-naturel-normandie-maine.fr/abc-perseigne.html
c01daa30-153b-4b05-a416-daeab799263a,"ABC ""Perseigne"" PNR Normandie-Maine (ligérien)",Normandie-Maine,"Parc naturel régional",Saint-Rémy-du-Val,72317,2020,Vrai,"En cours de réalisation",https://www.parc-naturel-normandie-maine.fr/abc-perseigne.html
c01daa30-153b-4b05-a416-daeab799263a,"ABC ""Perseigne"" PNR Normandie-Maine (ligérien)",Normandie-Maine,"Parc naturel régional",Villeneuve-en-Perseigne,72137,2020,Vrai,"En cours de réalisation",https://www.parc-naturel-normandie-maine.fr/abc-perseigne.html
