id;nom;structure_porteuse;type_de_structure_porteuse;annee_debut;statut;categorie;note;nb_communes;departement;region;source;ami_ofb;url_page
abc-d-amberieu-en-bugey-amberieu-en-bugey-2014;ABC d'Ambérieu-en-Bugey;Ambérieu-en-Bugey;Commune;2014;termine;Terminé;;1;Ain;Auvergne-Rhône-Alpes;data.gouv;Non;
abc-d-artemare-artemare-2014;ABC d'Artemare;Artemare;Commune;2014;termine;Terminé;;1;Ain;Auvergne-Rhône-Alpes;data.gouv;Non;
abc-de-dagneux-dagneux-2010;ABC de Dagneux;Dagneux;Commune;2010;termine;Terminé;;1;Ain;Auvergne-Rhône-Alpes;data.gouv;Non;
abc-de-journans-journans-2015;ABC de Journans;Journans;Commune;2015;termine;Terminé;;1;Ain;Auvergne-Rhône-Alpes;data.gouv;Non;
abc-de-saint-benigne-saint-benigne-2014;ABC de Saint-Bénigne;Saint-Bénigne;Commune;2014;termine;Terminé;;1;Ain;Auvergne-Rhône-Alpes;data.gouv;Non;
abc-de-saint-didier-de-formans-saint-didier-de-formans-2021;ABC de Saint Didier de Formans;Saint-Didier-de-Formans;Commune;2021;termine;Terminé;;1;Ain;Auvergne-Rhône-Alpes;data.gouv;Non;
abc-de-la-communaute-de-communes-de-retz-en-valois-cc-retz-en-valois-2021;ABC de la communauté de communes de Retz-en-Valois;CC Retz-en-Valois;Etablissement public de coopération intercommunale (EPCI);2021;en_cours;En cours;Potentiellement terminé (début 2021, durée ABC ~3 ans);54;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-la-communaute-de-communes-picardie-des-chateaux-cc-picardie-des-chateaux-2021;ABC de la Communauté de communes Picardie des Châteaux;CC Picardie des Châteaux;Etablissement public de coopération intercommunale (EPCI);2021;en_cours;En cours;Potentiellement terminé (début 2021, durée ABC ~3 ans);36;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-castres-castres-2012;ABC de Castres;Castres;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-contescourt-contescourt-2012;ABC de Contescourt;Contescourt;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-d-homblieres-homblieres-2012;ABC d'Homblières;Homblières;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-d-essigny-le-petit-essigny-le-petit-2012;ABC d'Essigny-le-Petit;Essigny-le-Petit;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-d-etreux-etreux-2010;ABC d'Étreux;Étreux;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-fayet-fayet-2012;ABC de Fayet;Fayet;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-fieulaine-fieulaine-2012;ABC de Fieulaine;Fieulaine;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-fonsomme-fonsomme-2012;ABC de Fonsomme;Fonsomme;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-fontaine-les-vervins-fontaine-les-vervins-2010;ABC de Fontaine-lès-Vervins;Fontaine-lès-Vervins;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-fontaine-notre-dame-fontaine-notre-dame-2012;ABC de Fontaine-Notre-Dame;Fontaine-Notre-Dame;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-gauchy-gauchy-2012;ABC de Gauchy;Gauchy;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-grougis-grougis-2010;ABC de Grougis;Grougis;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-grugies-grugies-2012;ABC de Grugies;Grugies;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-d-hannapes-hannapes-2010;ABC d'Hannapes;Hannapes;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-d-harly-harly-2012;ABC d'Harly;Harly;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-lesdins-lesdins-2012;ABC de Lesdins;Lesdins;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-marcy-marcy-2012;ABC de Marcy;Marcy;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-mennevret-mennevret-2010;ABC de Mennevret;Mennevret;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-mesnil-saint-laurent-mesnil-saint-laurent-2012;ABC de Mesnil-Saint-Laurent;Mesnil-Saint-Laurent;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-molain-molain-2010;ABC de Molain;Molain;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-morcourt-morcourt-2012;ABC de Morcourt;Morcourt;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-neuville-saint-amand-neuville-saint-amand-2012;ABC de Neuville-Saint-Amand;Neuville-Saint-Amand;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-du-bocage-bourbonnais-cc-du-bocage-bourbonnais-2017;ABC du Bocage Bourbonnais;CC du Bocage Bourbonnais;Etablissement public de coopération intercommunale (EPCI);2017;termine;Terminé;;25;Allier;Auvergne-Rhône-Alpes;data.gouv;Non;
abc-d-oisy-oisy-2010;ABC d'Oisy;Oisy;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-d-omissy-omissy-2012;ABC d'Omissy;Omissy;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-remaucourt-remaucourt-2012;ABC de Remaucourt;Remaucourt;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-ribeauville-ribeauville-2010;ABC de Ribeauville;Ribeauville;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-rouvroy-rouvroy-2012;ABC de Rouvroy;Rouvroy;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-saint-martin-riviere-saint-martin-riviere-2010;ABC de Saint-Martin-Rivière;Saint-Martin-Rivière;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-saint-quentin-saint-quentin-2012;ABC de Saint-Quentin;Saint-Quentin;Commune;2012;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2012 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-la-vallee-mulatre-la-vallee-mulatre-2010;ABC de La Vallée-Mulâtre;La Vallée-Mulâtre;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-vaux-andigny-vaux-andigny-2010;ABC de Vaux-Andigny;Vaux-Andigny;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-venerolles-venerolles-2010;ABC de Vénérolles;Vénérolles;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-de-wassigny-wassigny-2010;ABC de Wassigny;Wassigny;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Aisne;Hauts-de-France;data.gouv;Non;
abc-du-pays-de-marcillat-en-combrailles-ca-montlucon-communaute-2012;ABC du Pays de Marcillat en Combrailles;CA Montluçon Communauté;Etablissement public de coopération intercommunale (EPCI);2012;termine;Terminé;;12;Allier;Auvergne-Rhône-Alpes;data.gouv;Non;
atlas-de-la-biodiversite-communautaire-commentry-montmarault-neris-communaute-cc-commentry-montmarault-neris-communaute-2020;Atlas de la Biodiversité Communautaire Commentry - Montmarault - Néris communauté;CC Commentry Montmarault Néris Communauté;Etablissement public de coopération intercommunale (EPCI);2020;termine;Terminé;;33;Allier;Auvergne-Rhône-Alpes;data.gouv;Non;
abc-de-noyers-sur-jabron-noyers-sur-jabron-2021;ABC de Noyers sur Jabron;Noyers-sur-Jabron;Commune;2021;termine;Terminé;;1;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-la-foret-d-orient-foret-d-orient-2019;ABC de la forêt d'Orient;Forêt D'Orient;Parc naturel régional;2019;termine;Terminé;;22;Aube;Grand Est;data.gouv;Non;
abc-du-parc-national-du-mercantour-allos-peone-isola-et-valdeblore-parc-national-du-mercantour-2024;ABC du Parc National du Mercantour : Allos, Péone, Isola et Valdeblore;Parc national du Mercantour;Parc national;2024;en_cours;En cours;;4;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-du-pnr-du-luberon-n-2-merindol-oppede-saint-saturnin-les-apt-et-la-brillanne-luberon-2025;ABC du PNR du Lubéron (n°2) : Mérindol, Oppède, Saint-Saturnin-lès-Apt et La Brillanne;Luberon;Parc naturel régional;2025;a_venir;Va débuter;;4;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-du-pnr-du-verdon-trigance-et-castellane-verdon-2023;ABC du PNR du Verdon - Trigance et Castellane;Verdon;Parc naturel régional;2023;en_cours;En cours;Potentiellement terminé (début 2023, durée ABC ~3 ans);2;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-clamensane-clamensane-2024;ABC de Clamensane;Clamensane;Commune;2024;en_cours;En cours;;1;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-du-pnr-du-verdon-esparron-de-verdon-et-rougon-verdon-2024;ABC du PNR du Verdon : Esparron-de-Verdon et Rougon;Verdon;Parc naturel régional;2024;a_venir;Va débuter;Potentiellement en cours (début annoncé 2024, encore « va débuter »);2;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-du-lauzet-ubaye-le-lauzet-ubaye-2021;ABC du Lauzet-Ubaye;Le Lauzet-Ubaye;Commune;2021;termine;Terminé;;1;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-la-motte-du-caire-la-motte-du-caire-2021;ABC de la Motte du Caire;La Motte-du-Caire;Commune;2021;termine;Terminé;;1;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-saint-geniez-saint-geniez-2024;ABC de Saint-Geniez;Saint-Geniez;Commune;2024;en_cours;En cours;;1;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-du-pnr-du-verdon-saint-jurs-et-saint-julien-du-verdon-verdon-2021;ABC du PNR du Verdon - Saint-Jurs et Saint-Julien-du-Verdon;Verdon;Parc naturel régional;2021;termine;Terminé;;2;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-saint-vincent-sur-jabron-saint-vincent-sur-jabron-2017;ABC de Saint Vincent Sur Jabron;Saint-Vincent-sur-Jabron;Commune;2017;termine;Terminé;;1;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-d-uvernet-fours-uvernet-fours-2017;ABC d'Uvernet-Fours;Uvernet-Fours;Commune;2017;termine;Terminé;;1;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-du-pnr-du-luberon-auribeau-lauris-puget-viens-et-volx-luberon-2023;ABC du PNR du Lubéron - Auribeau, Lauris, Puget, Viens et Volx;Luberon;Parc naturel régional;2023;en_cours;En cours;Potentiellement terminé (début 2023, durée ABC ~3 ans);5;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-du-pnr-des-baronnies-provencales-n-2-meouge-aval-barret-sur-meouge-et-saint-pierre-avez-baronnies-provencales-2022;ABC du PNR des Baronnies Provençales n°2 - Méouge aval - Barret-sur-Méouge et Saint-Pierre-Avez;Baronnies Provençales;Parc naturel régional;2022;termine;Terminé;;2;Hautes-Alpes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-briancon-briancon-2013;ABC de Briançon;Briançon;Commune;2013;termine;Terminé;;1;Hautes-Alpes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-d-embrun-embrun-2018;ABC d'Embrun;Embrun;Commune;2018;termine;Terminé;;1;Hautes-Alpes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-du-pnr-des-baronnies-provencales-eourres-et-val-buech-meouge-baronnies-provencales-2017;ABC du PNR des Baronnies Provençales - Éourres et Val Buëch-Méouge;Baronnies Provençales;Parc naturel régional;2017;termine;Terminé;;2;Hautes-Alpes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-saint-jean-saint-nicolas-saint-jean-saint-nicolas-2017;ABC de Saint Jean Saint Nicolas;Saint-Jean-Saint-Nicolas;Commune;2017;termine;Terminé;;1;Hautes-Alpes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-saint-leger-les-melezes-saint-leger-les-melezes-2018;ABC de Saint-Léger-Les-Mélèzes;Saint-Léger-les-Mélèzes;Commune;2018;termine;Terminé;;1;Hautes-Alpes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-d-antibes-antibes-2022;ABC d'Antibes;Antibes;Commune;2022;termine;Terminé;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
atlas-de-la-biodiversite-cotiere-de-la-metropole-nice-cote-d-azur-metropole-nice-cote-d-azur-2018;Atlas de la Biodiversité Côtière de la Métropole Nice Côte d'Azur;Métropole Nice Côte d'Azur;Etablissement public de coopération intercommunale (EPCI);2018;termine;Terminé;;8;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-cagnes-sur-mer-cagnes-sur-mer-2019;ABC de Cagnes-sur-Mer;Cagnes-sur-Mer;Commune;2019;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2019 (> 5 ans);1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-cannes-cannes-2010;ABC de Cannes;Cannes;Commune;2010;termine;Terminé;Terminé (estimation) : statut officiel inconnu, projet débuté en 2010 (> 5 ans);1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-chateauneuf-grasse-chateauneuf-grasse-2021;ABC de Châteauneuf-Grasse;Châteauneuf-Grasse;Commune;2021;termine;Terminé;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-la-colle-sur-loup-la-colle-sur-loup-2022;ABC de La Colle sur Loup;La Colle-sur-Loup;Commune;2022;termine;Terminé;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-grasse-grasse-2020;ABC de Grasse;Grasse;Commune;2020;termine;Terminé;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-guillaumes-guillaumes-2018;ABC de Guillaumes;Guillaumes;Commune;2018;termine;Terminé;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-villars-sur-var-et-de-massouins-villars-sur-var-2023;ABC de Villars sur Var et de Massouins;Villars-sur-Var;Commune;2023;en_cours;En cours;Potentiellement terminé (début 2023, durée ABC ~3 ans);2;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-mouans-sartoux-mouans-sartoux-2019;ABC de Mouans-Sartoux;Mouans-Sartoux;Commune;2019;termine;Terminé;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-nice-metropole-nice-cote-d-azur-2025;ABC de Nice;Métropole Nice Côte d'Azur;Etablissement public de coopération intercommunale (EPCI);2025;en_cours;En cours;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-du-tignet-et-peymeinade-le-tignet-2023;ABC du Tignet et Peymeinade;Le Tignet;Commune;2023;en_cours;En cours;Potentiellement terminé (début 2023, durée ABC ~3 ans);2;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-saint-jeannet-saint-jeannet-2022;ABC de Saint Jeannet;Saint-Jeannet;Commune;2022;termine;Terminé;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-saint-paul-de-vence-saint-paul-de-vence-2021;ABC de Saint Paul de Vence;Saint-Paul-de-Vence;Commune;2021;termine;Terminé;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-saint-sauveur-sur-tinee-saint-sauveur-sur-tinee-2018;ABC de Saint Sauveur Sur Tinée;Saint-Sauveur-sur-Tinée;Commune;2018;termine;Terminé;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-sospel-sospel-2017;ABC de Sospel;Sospel;Commune;2017;termine;Terminé;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-tournefort-et-la-tour-tournefort-2024;ABC de Tournefort et La Tour;Tournefort;Commune;2024;en_cours;En cours;;2;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-valbonne-valbonne-2022;ABC de Valbonne;Valbonne;Commune;2022;termine;Terminé;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-vence-vence-2017;ABC de Vence;Vence;Commune;2017;termine;Terminé;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-de-villeneuve-loubet-villeneuve-loubet-2024;ABC de Villeneuve-Loubet;Villeneuve-Loubet;Commune;2024;en_cours;En cours;;1;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;data.gouv;Non;
abc-d-alba-la-romaine-alba-la-romaine-2024;ABC d'Alba-la-Romaine;Alba-la-Romaine;Commune;2024;en_cours;En cours;;1;Ardèche;Auvergne-Rhône-Alpes;data.gouv;Non;
abc-de-chateaubourg-chateaubourg-2021;ABC de Châteaubourg;Châteaubourg;Commune;2021;termine;Terminé;;1;Ardèche;Auvergne-Rhône-Alpes;data.gouv;Non;
abc-de-saint-paul-le-jeune-saint-paul-le-jeune-2018;ABC de Saint Paul Le Jeune;Saint-Paul-le-Jeune;Commune;2018;termine;Terminé;;1;Ardèche;Auvergne-Rhône-Alpes;data.gouv;Non;
abc-de-clavy-warby-clavy-warby-2021;ABC de Clavy-Warby;Clavy-Warby;Commune;2021;termine;Terminé;;1;Ardennes;Grand Est;data.gouv;Non;
abc-de-gespunsart-gespunsart-2024;ABC de Gespunsart;Gespunsart;Commune;2024;a_venir;Va débuter;Potentiellement en cours (début annoncé 2024, encore « va débuter »);1;Ardennes;Grand Est;data.gouv;Non;
abc-de-prix-les-mezieres-prix-les-mezieres-2021;ABC de Prix-Les-Mézières;Prix-lès-Mézières;Commune;2021;termine;Terminé;;1;Ardennes;Grand Est;data.gouv;Non;
