nom;structure_porteuse;communes;annee_debut;statut_a_verifier;motif;requete_recherche
ABC  de Ouest Aveyron Communauté;;Ambeyrac, Bor-et-Bar, La Capelle-Balaguier, Foissac, La Fouillade, Lunac, Maleville, Martiel, Monteils, Montsalès, Morlhon-le-Haut, Najac, Naussac, Ols-et-Rinhodes, La Rouquette, Saint-André-de-Najac, Sainte-Croix, Saint-Igest, Saint-Rémy, Salles-Courbatiès, Sanvensa, Saujac, Savignac, Toulonjac, Vailhourles, Villefranche-de-Rouergue, Villeneuve, Laramière, Promilhanes;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "de Ouest Aveyron Communauté" Ambeyrac
ABC Assas;Assas;Assas;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Assas" Assas
ABC Bagnères-de-Bigorre;Bagnères-de-Bigorre;Bagnères-de-Bigorre;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Bagnères-de-Bigorre" Bagnères-de-Bigorre
ABC Balma;Balma;Balma;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Balma" Balma
ABC Bio;Bio;Bio;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Bio" Bio
ABC Blagnac;Blagnac;Blagnac;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Blagnac" Blagnac
ABC Breuillet;;Breuillet;2022;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Breuillet" Breuillet
ABC Bédouès-Cocurès;Bédouès-Cocurès;Bédouès-Cocurès;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Bédouès-Cocurès" Bédouès-Cocurès
ABC Cahors;Cahors;Cahors;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Cahors" Cahors
ABC Communauté agglomération Paris Vallée de la Marne;CA Paris - Vallée de la Marne;Chelles, Brou-sur-Chantereine, Champs-sur-Marne, Courtry, Croissy-Beaubourg, Émerainville, Lognes, Noisiel, Pontault-Combault, Roissy-en-Brie, Torcy, Vaires-sur-Marne;;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "CA Paris - Vallée de la Marne" Chelles
ABC Communauté de Communes Flandres Lys;;Estaires, La Gorgue, Haverskerque, Merville, Fleurbaix, Laventie, Lestrem, Sailly-sur-la-Lys;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Communauté de Communes Flandres Lys" Estaires
ABC Communauté de Communes du Nord de Mayotte;CC du Nord de Mayotte;Acoua, Bandraboua, Koungou, Mtsamboro;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "CC du Nord de Mayotte" Acoua
ABC Intercommunal d'Ecueillé Valançay;CC Écueillé-Valençay;Fontguenand, Valençay, La Vernelle, Veuil, Vicq-sur-Nahon;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "CC Écueillé-Valençay" Fontguenand
ABC Le Vaudoué;Le Vaudoué;Le Vaudoué;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Le Vaudoué" Le Vaudoué
